slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
NDc4,478,DRIPBaR Direct- Hawaii,Enterprise,True,True,True,DRIPBaR Direct- Hawaii,InVigoration Hydration,ACTIVE,ACTIVE,DRIPBaR Direct- Hawaii,InVigoration Hydration,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc4,https://booking.hydreight.com/b/NDc4,2025-06-28T22:19:31.170258
NDc5,479,DRIPBaR Direct - Rye,Enterprise,True,False,False,DRIPBaR Direct - Rye,,ACTIVE,ERROR_PAGE,DRIPBaR Direct - Rye,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc5,https://booking.hydreight.com/b/NDc5,2025-06-28T22:19:42.895940
NDgw,480,DRIPBaR Direct - Clifton Park,Enterprise,True,False,False,DRIPBaR Direct - Clifton Park,,ACTIVE,ERROR_PAGE,DRIPBaR Direct - Clifton Park,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgw,https://booking.hydreight.com/b/NDgw,2025-06-28T22:19:54.738239
NDgx,481,Dripbar Direct - Andover,Enterprise,True,False,False,Dripbar Direct - Andover,,ACTIVE,ERROR_PAGE,Dripbar Direct - Andover,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgx,https://booking.hydreight.com/b/NDgx,2025-06-28T22:20:07.596651
NDgy,482,Dripbar Direct - Grand Rapids,Enterprise,True,False,False,Dripbar Direct - Grand Rapids,,ACTIVE,ERROR_PAGE,Dripbar Direct - Grand Rapids,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgy,https://booking.hydreight.com/b/NDgy,2025-06-28T22:20:20.064157
NDgz,483,DRIPBaR Direct - Bedford,Enterprise,True,True,True,DRIPBaR Direct - Bedford,Peek A View Baby,ACTIVE,ACTIVE,DRIPBaR Direct - Bedford,Peek A View Baby,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgz,https://booking.hydreight.com/b/NDgz,2025-06-28T22:20:31.494210
NDg0,484,The DRIPBaR Direct - Virginia Beach (VA),Enterprise,True,False,False,The DRIPBaR Direct - Virginia Beach (VA),,ACTIVE,ERROR_PAGE,The DRIPBaR Direct - Virginia Beach (VA),undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg0,https://booking.hydreight.com/b/NDg0,2025-06-28T22:20:45.350782
NDg1,485,Dripbar Direct - Greensboro,Enterprise,True,False,False,Dripbar Direct - Greensboro,,ACTIVE,ERROR_PAGE,Dripbar Direct - Greensboro,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg1,https://booking.hydreight.com/b/NDg1,2025-06-28T22:20:58.256530
NDg2,486,Dripbar Direct - Lee's Summit,Enterprise,True,False,False,Dripbar Direct - Lee's Summit,,ACTIVE,ERROR_PAGE,Dripbar Direct - Lee's Summit,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg2,https://booking.hydreight.com/b/NDg2,2025-06-28T22:21:11.104035
NDg3,487,Dripbar Direct - Richmond,Enterprise,True,False,False,Dripbar Direct - Richmond,,ACTIVE,ERROR_PAGE,Dripbar Direct - Richmond,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg3,https://booking.hydreight.com/b/NDg3,2025-06-28T22:21:23.977716
